date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:06	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2018%20Jan%202018%2011:35:02%20GMT	https://www.e-obce.sk/images/forum.jpg	C:/My%20Web%20Sites/obce/web/images/forum.jpg	(from https://www.e-obce.sk/)
12:35:06	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2018%20Jan%202018%2011:35:03%20GMT	https://www.e-obce.sk/images/mapa.jpg	C:/My%20Web%20Sites/obce/web/images/mapa.jpg	(from https://www.e-obce.sk/)
12:35:08	5629/5629	URF---	200	added ('OK%20(cached)')	image/jpeg		https://www.e-obce.sk/images/firmy.jpg	C:/My%20Web%20Sites/obce/web/images/firmy.jpg	(from https://www.e-obce.sk/)
12:35:08	48000/-1	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:35:08%20GMT	https://www.e-obce.sk/erby.html	C:/My%20Web%20Sites/obce/web/html/erby.html	(from https://www.e-obce.sk/)
12:35:08	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2018%20Jan%202018%2011:35:05%20GMT	https://www.e-obce.sk/images/turizmus.jpg	C:/My%20Web%20Sites/obce/web/images/turizmus.jpg	(from https://www.e-obce.sk/)
12:35:08	48355/48355	URF---	200	added ('OK%20(cached)')	text/plain		https://pagead2.googlesyndication.com/pagead/show_ads.js	C:/My%20Web%20Sites/obce/web/images/f.txt	(from https://www.e-obce.sk/)
12:35:10	31555/-1	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:35:10%20GMT	https://www.e-obce.sk/pridat_inzerat.html	C:/My%20Web%20Sites/obce/web/html/pridat_inzerat.html	(from https://www.e-obce.sk/)
12:35:11	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2018%20Jan%202018%2011:35:08%20GMT	https://www.e-obce.sk/images/inzercia.jpg	C:/My%20Web%20Sites/obce/web/images/inzercia.jpg	(from https://www.e-obce.sk/)
12:35:13	35176/-1	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:35:13%20GMT	https://www.e-obce.sk/obec/martin/fotky/7041.html	C:/My%20Web%20Sites/obce/web/html/7041.html	(from https://www.e-obce.sk/)
12:35:13	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2018%20Jan%202018%2011:35:10%20GMT	https://www.e-obce.sk/images/terragrata.jpg	C:/My%20Web%20Sites/obce/web/images/terragrata.jpg	(from https://www.e-obce.sk/)
12:35:14	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2018%20Jan%202018%2011:35:11%20GMT	https://www.e-obce.sk/images/signatar.jpg	C:/My%20Web%20Sites/obce/web/images/signatar.jpg	(from https://www.e-obce.sk/)
12:35:14	32238/-1	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:35:15%20GMT	https://www.e-obce.sk/clanky/1565.html	C:/My%20Web%20Sites/obce/web/html/1565.html	(from https://www.e-obce.sk/)
12:35:15	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2018%20Jan%202018%2011:35:12%20GMT	https://www.e-obce.sk/images/mapka.jpg	C:/My%20Web%20Sites/obce/web/images/mapka.jpg	(from https://www.e-obce.sk/)
12:35:16	32772/-1	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:35:17%20GMT	https://www.e-obce.sk/clanok.html?id=1565&akcia=novykomentar	C:/My%20Web%20Sites/obce/web/html/clanok60fe.html	(from https://www.e-obce.sk/)
12:35:18	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2018%20Jan%202018%2011:35:15%20GMT	https://www.e-obce.sk/minifoto_ch/7041.jpg	C:/My%20Web%20Sites/obce/web/images/7041.jpg	(from https://www.e-obce.sk/)
12:35:19	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2018%20Jan%202018%2011:35:16%20GMT	https://www.e-obce.sk/obrazky/Banner.jpg	C:/My%20Web%20Sites/obce/web/images/banner.jpg	(from https://www.e-obce.sk/)
12:35:19	32773/-1	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:35:20%20GMT	https://www.e-obce.sk/clanok.html?id=1570&akcia=novykomentar	C:/My%20Web%20Sites/obce/web/html/clanokf93c.html	(from https://www.e-obce.sk/)
